DATE,PRCP,TMAX,TMIN,RAIN
10-Jan,0.0,48.0,40.0,TRUE
10-Jan,0.09,49.0,40.0,TRUE
10-Jan,0.36,46.0,37.0,TRUE
10-Jan,0.06,54.0,41.0,FALSE
10-Jan,0.0,48.0,38.0,FALSE
10-Jan,0.0,49.0,35.0,FALSE
10-Jan,0.0,55.0,41.0,TRUE
10-Jan,0.02,56.0,44.0,TRUE
10-Jan,0.18,48.0,43.0,TRUE
10-Jan,0.08,49.0,45.0,TRUE
10-Feb,0.08,49.0,40.0,TRUE
10-Feb,0.01,54.0,40.0,TRUE
10-Feb,0.31,50.0,41.0,TRUE
10-Feb,0.08,57.0,41.0,TRUE
10-Feb,0.07,58.0,45.0,TRUE
10-Feb,0.13,56.0,43.0,TRUE
10-Feb,0.15,49.0,44.0,FALSE
10-Feb,0.0,49.0,41.0,FALSE
10-Feb,0.0,46.0,36.0,TRUE
10-Feb,0.11,44.0,31.0,TRUE
10-Feb,0.24,54.0,43.0,TRUE
10-Feb,0.38,54.0,43.0,TRUE
10-Feb,0.2,52.0,45.0,TRUE
10-Feb,0.42,53.0,42.0,TRUE
10-Feb,0.07,55.0,37.0,TRUE
10-Feb,0.21,54.0,43.0,FALSE
10-Feb,0.0,51.0,39.0,FALSE
10-Feb,0.0,59.0,39.0,FALSE
10-Feb,0.0,59.0,39.0,FALSE
10-Feb,0.0,57.0,35.0,FALSE
10-Feb,0.0,57.0,36.0,FALSE
10-Feb,0.0,54.0,33.0,TRUE
10-Feb,0.16,48.0,37.0,TRUE
10-Feb,0.33,51.0,42.0,TRUE
10-Feb,0.05,54.0,44.0,TRUE
10-Feb,0.44,52.0,46.0,TRUE
10-Feb,0.08,54.0,46.0,FALSE
10-Feb,0.0,56.0,43.0,FALSE
10-Mar,0.0,57.0,42.0,TRUE
10-Mar,0.09,56.0,46.0,FALSE
10-Mar,0.0,55.0,41.0,TRUE
10-Mar,0.05,53.0,42.0,FALSE
10-Mar,0.0,57.0,37.0,FALSE
10-Mar,0.0,59.0,37.0,TRUE
10-Mar,0.06,52.0,37.0,TRUE
10-Mar,0.08,41.0,32.0,FALSE
10-Mar,0.0,48.0,28.0,TRUE
10-Mar,0.07,50.0,37.0,TRUE
10-Mar,0.38,46.0,40.0,TRUE
10-Mar,0.67,49.0,39.0,TRUE
10-Mar,0.02,49.0,38.0,FALSE
10-Mar,0.0,53.0,35.0,FALSE
10-Mar,0.0,65.0,42.0,TRUE
10-Mar,0.08,57.0,43.0,TRUE
10-Mar,0.01,52.0,40.0,FALSE
10-Mar,0.0,52.0,38.0,FALSE
10-Mar,0.0,61.0,37.0,FALSE
10-Mar,0.0,67.0,37.0,TRUE
10-Mar,0.01,56.0,45.0,FALSE
10-Mar,0.0,55.0,42.0,FALSE
10-Mar,0.0,57.0,40.0,FALSE
10-Mar,0.0,68.0,42.0,TRUE
10-Mar,0.62,53.0,45.0,FALSE
10-Mar,0.0,54.0,42.0,FALSE
10-Mar,0.0,61.0,43.0,TRUE
10-Mar,0.47,56.0,46.0,TRUE
10-Mar,0.92,50.0,40.0,TRUE
